"","receta","ingredientes"
"344",37,"vanilla"
"345",37,"granny smith apples"
"346",37,"flaked coconut"
"347",37,"pecans"
"348",38,"brown sugar"
"349",38,"fleischmanns margarine spread"
"350",38,"applesauce"
"351",38,"molasses"
"352",38,"beatersâ® substitute"
"353",38,"purpose flour"
"354",38,"wheat flour"
"355",38,"baking soda"
"356",38,"cinnamon"
"357",38,"allspice"
"358",38,"salt"
"359",38,"powdered sugar"
"360",38,"nuts"
"361",39,"soak apricots"
"362",39,"fresh"
"363",39,"butter"
"364",39,"thick coley"
"365",39,"salt pepper"
"366",39,"juice grated rind lemon"
"367",39,"potatopepper salad french dressing serve"
"368",39,"fresh mint sprigs garnish"
"369",40,"apricot nectar"
"370",40,"chicken broth"
"371",40,"pareve margarine"
"372",40,"dried apricots"
"373",40,"brown sugar"
"374",40,"honey"
"375",40,"kosher salt"
"376",40,"cinnamon"
"377",40,"pepper"
"378",40,"sweet potatoes"
"379",40,"carrots"
"380",40,"prunes"
"381",41,"marinated artichoke hearts"
"382",41,"yeast"
"383",41,"bread flour"
"384",41,"wheat flour"
"385",41,"cracked wheat"
"386",41,"sugar"
"387",41,"salt"
"388",41,"black pepper"
"389",41,"parmesan"
"390",41,"water"
"391",42,"chicken legs"
"392",42,"olive"
"393",42,"onions"
"394",42,"salt"
"395",42,"freshly black pepper"
"396",42,"saffron"
"397",42,"water"
"398",42,"turmeric"
"399",42,"fresh parsley"
"400",42,"fresh mint"
"401",42,"fresh lime juice"
"402",42,"fresh artichoke hearts"
"403",43,"arugula leaves"
"404",43,"garlic cloves"
"405",43,"parmesan"
"406",43,"olive"
"407",43,"pine nuts"
"408",44,"seasame seeds"
"409",44,"snow peas"
"410",44,"celery"
"411",44,"cilantro"
"412",44,"pasta"
"413",44,"chicken breasts"
"414",44,"sauce"
"415",44,"rice vinegar"
"416",44,"water"
"417",44,"sugar"
"418",44,"salt"
"419",44,"ginger root"
"420",44,"garlic"
"421",44,"peanuts"
"422",44,"peanut"
"423",44,"sesame"
"424",44,"chili"
"425",45,"stalks asparagus"
"426",45,"butter"
"427",45,"grated parmesan cheese"
"428",45,"salt pepper"
"429",46,"asparagus spears"
"430",46,"mayonnaise"
"431",46,"sauce"
"432",46,"sesame"
"433",46,"grated zest orange"
"434",47,"aubergines"
"435",47,"spanish onion"
"436",47,"cloves garlic"
"437",47,"vegetable"
"438",47,"chilli powder"
"439",47,"terasi"
"440",47,"brown sugar"
"441",47,"tomatoes"
"442",48,"sugar"
"443",48,"eggs"
"444",48,"vanilla"
"445",48,"flour"
"446",48,"baking powder"
"447",48,"almonds"
"448",49,"butter"
"449",49,"nuts"
"450",49,"flour"
"451",49,"sugar"
"452",49,"vanilla"
"453",49,"powdered sugar roll"
"454",50,"salad potatoes"
"455",50,"salt pepper"
"456",50,"macaroni"
"457",50,"hardboiled eggs"
"458",50,"celery"
"459",50,"carrots"
"460",50,"maui onion"
"461",50,"frozen peas"
"462",50,"tuna"
"463",50,"best foods mayonnaise"
"464",50,"milk"
"465",51,"apple juice"
"466",51,"cinnamon sticks"
"467",51,"cloves"
"468",51,"pineapple juice"
"469",51,"lemon juice"
"470",51,"orange juice"
"471",51,"ginger"
"472",52,"yolks"
"473",52,"sugar"
"474",52,"sherry"
"475",52,"whipping cream"
"476",52,"orange peel"
"477",52,"cantaloupe"
"478",52,"figs"
"479",52,"strawberries"
"480",52,"green grapes"
"481",52,"almonds"
"482",53,"ripe avocados"
"483",53,"fresh tomatillos"
"484",53,"onion"
"485",53,"cloves garlic"
"486",53,"limes"
"487",53,"jalapeno"
"488",53,"salt"
"489",53,"bunch cilantro"
"490",54,"butter"
"491",54,"spring onions"
"492",54,"grated orange peel"
"493",54,"grated lemon peel"
"494",54,"note"
"495",54,"single cream"
"496",54,"plain yoghurt"
"497",54,"salt freshly"
"498",54,"black pepper taste"
"499",54,"avocados"
"500",55,"eggplant"
"501",55,"lemon juice"
"502",55,"salt"
"503",55,"fresh garlic"
"504",55,"sesame tahini"
"505",55,"parsley"
"506",55,"toasted pine nuts"
"507",55,"olive"
"508",56,"selfrising flour"
"509",56,"sugar"
"510",56,"salad"
"511",56,"eggs"
"512",56,"cinnamon"
"513",56,"nuts"
"514",56,"baby food plums"
"515",57,"pecans"
"516",57,"yellow cake"
"517",57,"vanilla pudding"
"518",57,"eggs"
"519",57,"water"
"520",58,"bacon"
"521",58,"cocktail smoky links"
"522",58,"dark brown sugar"
"523",59,"honey"
"524",59,"brandy"
"525",60,"yellow cake"
"526",60,"eggs"
"527",60,"water"
"528",60,"bailys irish cream liqu"
"529",60,"instant vanilla pudding"
"530",60,"toasted pecans"
"531",60,"butter"
"532",60,"sugar"
"533",60,"water"
"534",60,"baileys irish cream"
"535",61,"butter"
"536",61,"dark brown sugar"
"537",61,"flour"
"538",61,"baking powder"
"539",61,"salt"
"540",61,"walnuts"
"541",62,"granny smith apples"
"542",62,"granulated sugar"
"543",62,"packed brown sugar"
"544",62,"cinnamon"
"545",62,"milk"
"546",62,"eggs"
"547",62,"purpose flour"
"548",62,"salt"
"549",62,"stick butter"
"550",63,"broccoli"
"551",63,"water"
"552",63,"salt butter"
"553",64,"cream mushroom soup"
"554",64,"milk"
"555",64,"dijon mustard"
"556",64,"dried tarragon leaves"
"557",64,"chicken"
"558",64,"broccoli flowerettes"
"559",64,"green onions"
"560",64,"vegetable"
"561",64,"swiss cheese"
"562",65,"fish steaks"
"563",65,"milk"
"564",65,"salt"
"565",65,"breadcrumbs"
"566",65,"butter"
"567",65,"watercress"
"568",65,"lemon"
"569",66,"fish fillets flat"
"570",66,"butter print sure"
"571",66,"garlic dehy"
"572",66,"lemon fresh"
"573",66,"salt table"
"574",67,"french bread loaf"
"575",67,"eggs"
"576",67,"sugar"
"577",67,"vanilla extract"
"578",67,"milk"
"579",67,"flour"
"580",67,"brown sugar"
"581",67,"cinnamon"
"582",67,"butter"
"583",67,"blueberries"
"584",67,"strawberries"
"585",68,"thick slice"
"586",68,"mustard"
"587",68,"brown sugar"
"588",68,"white vinegar"
"589",68,"frozen strawberries"
"590",68,"sticks cinnamon"
"591",68,"cloves"
"592",68,"ginger"
"593",68,"nutmeg"
"594",69,"chicken breasts"
"595",69,"stick butter"
"596",69,"lemon juice"
"597",69,"flour"
"598",69,"onion"
"599",69,"clove garlic"
"600",69,"salt pepper"
"601",70,"fish fillets"
"602",70,"lemon herb dijon glaze"
"603",70,"white wine"
"604",70,"fresh herb"
"605",71,"lean"
"606",71,"salt pepper"
"607",71,"oranges"
"608",71,"orange juice"
"609",71,"flour"
"610",72,"peach haves"
"611",72,"flaked coconut"
"612",72,"honey"
"613",72,"extractflav"
"614",72,"peach syrup"
"615",73,"pork sausage patties"
"616",74,"onion"
"617",74,"green pepper"
"618",74,"buttermargarine"
"619",74,"tomatoes liquid"
"620",74,"mushroom stems"
"621",74,"piece drained"
"622",74,"ripe olives"
"623",74,"dried"
"624",74,"beef"
"625",74,"spaghetti"
"626",74,"shredded cheddar cheese"
"627",74,"condensed cream mushroom soup"
"628",74,"water"
"629",74,"parmesan cheese"
"630",75,"olive"
"631",75,"italian plum tomatoes lengthwise"
"632",75,"grated romano cheese"
"633",75,"bread crumbs"
"634",75,"garlic cloves"
"635",75,"dried"
"636",75,"salt pepper"
"637",75,"penne"
"638",76,"soft butter"
"639",76,"bakers coconut"
"640",77,"unsifted flour"
"641",77,"salt"
"642",77,"water"
"643",77,"powdered alum"
"644",77,"cooking"
"645",77,"food"
"646",77,"clove"
"647",77,"acrylic paints"
"648",77,"spray acrylic fixative"
"649",77,"clear shellac"
"650",78,"firm"
"651",78,"melted butter"
"652",78,"confectioners sugar"
"653",78,"vanilla cream"
"654",79,""
"655",79,"sugar"
"656",79,"white"
"657",79,"buttermilk"
"658",79,"mashed ripe bananas"
"659",79,"flour"
"660",79,"baking soda"
"661",79,"salt"
"662",79,"vanilla extract"
"663",79,"walnuts filling"
"664",79,"butter"
"665",79,"packed brown sugar"
"666",79,"flour"
"667",79,"salt"
"668",79,"milk"
"669",79,"yolk"
"670",79,"vanilla extract"
"671",79,"walnuts"
"672",79,"confectioners sugar"
"673",80,"eagle brand sweetened condensed chocolate"
"674",80,"ripe bananas"
"675",80,"cubes"
"676",81,"tumeric"
"677",81,"potatoes"
"678",81,"onion"
"679",81,"leaf"
"680",81,"cumin"
"681",81,"ginger"
"682",81,"chili powder"
"683",81,"tomatoes"
"684",81,"cabbage"
"685",81,"peas"
"686",81,"salt"
"687",82,"lean beef round"
"688",82,"water"
"689",82,"tomato sauce"
"690",82,"potatoes"
"691",82,"green bell pepper"
"692",82,"celery"
"693",82,"yellow onion"
"694",82,"carrots"
"695",82,"sprig fresh parsley"
"696",82,"leaf"
"697",83,"peeled peanuts"
"698",83,"fresh rosemary"
"699",83,"cayenne"
"700",83,"dark brown sugar"
"701",83,"kosher salt"
"702",83,"butter"
"703",84,"yams"
"704",84,"butter"
"705",84,"eggs"
"706",84,"orange juice"
"707",84,"brown sugar"
"708",84,"brandy"
"709",84,"grated lemon peel"
"710",84,"cinnamon"
"711",84,"salt"
"712",85,"catsup"
"713",85,"brown sugar"
"714",85,"quickcooking tapioca"
"715",85,"vinegar"
"716",85,"cinnamon"
"717",85,"pepper"
"718",85,"turkey thighs"
"719",86,"margarine"
"720",86,"eggs"
"721",86,"brown sugar"
"722",86,"flour"
"723",86,"vanilla"
"724",86,"pecans"
"725",87,"margarine"
"726",87,"barley"
"727",87,"onions"
"728",87,"cauliflower"
"729",87,"mushrooms"
"730",87,"shredded carrots"
"731",87,"water"
"732",87,"instant vegetable broth"
"733",87,"garlic powder"
"734",87,"pepper"
"735",88,"strong"
"736",88,"dates"
"737",88,"mixed peel"
"738",88,"washed raisins"
"739",88,"brown sugar"
"740",88,"purpose flour"
"741",88,"baking powder"
"742",88,"soda"
"743",88,"salt"
"744",89,"unbleached purpose flour"
"745",89,"tbls granulated sugar"
"746",89,"extra large"
"747",89,"vegetable"
"748",89,"tbls baking powder"
"749",89,"salt"
"750",89,"milk"
"751",90,"bread flour"
"752",90,"sugar"
"753",90,"yeast"
"754",90,"warm water"
"755",91,"basil"
"756",91,"stick butter"
"757",91,"fresh thyme leaves"
"758",91,"grated fresh lemon zest"
"759",91,"poussins"
"760",91,"lemon"
"761",91,"white wine"
"762",91,"chicken stock"
"763",91,"basil thyme leaves"
"764",92,"linguine"
"765",92,"fresh basil paacked"
"766",92,"chicken stock"
"767",92,"pine nuts"
"768",92,"parmesan chees"
"769",92,"olive"
"770",92,"garlic"
"771",93,"yolk"
"772",93,"milk"
"773",93,"sifted flour"
"774",93,"melted butter"
"775",93,"baking powder"
"776",93,"salt pepper"
"777",94,"flour"
"778",94,"sugar"
"779",94,"salt"
"780",94,"yeast"
"781",94,"margarine"
"782",94,"water"
"783",94,"eggs"
"784",94,"margarine"
"785",94,"green pepper"
"786",94,"flour"
"787",94,"mustard"
"788",94,"celery salt"
"789",94,"milk"
"790",94,"cream"
"791",94,"shrimp"
"792",94,"salt pepper taste"
"793",94,"parsley"
"794",95,"purpose flour"
"795",95,"instant yeast"
"796",95,"sugar"
"797",95,"salt"
"798",95,"warm water"
"799",96,"sifted flour"
"800",96,"baking powder"
"801",96,"salt"
"802",96,"milk"
"803",96,"zucchini"
"804",96,"additional flour"
"805",97,"nondairy coffee creamer"
"806",97,"dutch process cocoa"
"807",97,"confectioners sugar"
"808",97,"peppermint extract"
"809",98,"bean threads"
"810",98,"dried mushrooms"
"811",98,"redgreen chili pepper"
"812",98,"green onions"
"813",98,"fresh ginger"
"814",98,"bean sauce"
"815",98,"chicken broth"
"816",98,"sauce"
"817",98,"sherry"
"818",98,"peanut"
"819",98,"lean"
"820",98,"cilantro sprigs"
"821",99,"steak meat bear"
"822",99,"onion"
"823",99,"cloves garlic cloves"
"824",99,"butter margarine"
"825",99,"flour"
"826",99,"fresh mushrooms"
"827",99,"cubes beef bouillon"
"828",99,"wine"
"829",99,"catsup"
"830",99,"cracked black pepper"
"831",99,"salt"
"832",99,"sour cream"
"833",99,"noodle"
"834",100,"potatoes"
"835",100,"mushroom soup"
"836",100,"onions"
"837",100,"hamburger meat"
"838",100,"salt"
"839",101,"brown sugar"
"840",101,"chuck"
"841",101,"mustard"
"842",101,"sausage"
"843",101,"salt"
"844",101,"onions"
"845",101,"paprika"
"846",101,"garlic"
"847",101,"pepper"
"848",101,"celery"
"849",101,"water"
"850",101,"green pepper"
"851",101,"vinegar"
"852",101,"chili powder"
"853",101,"catsup"
"854",102,"water"
"855",102,"vinegar"
"856",102,"beef bouillon"
"857",102,"mustard"
"858",102,"chili powder"
"859",102,"pepper"
"860",102,"garlic cloves"
"861",102,"beef brisket"
"862",102,"catsup"
"863",102,"brown sugar"
"864",102,"margarine"
"865",103,"cream cheese"
"866",104,"sauce"
"867",104,"ketchup"
"868",104,"pepper"
"869",104,"garlic powder"
"870",104,"onion salt"
"871",104,"beef roast"
"872",105,"beef tenderloin"
"873",105,"butter"
"874",105,"garlic cloves"
"875",105,"shallots"
"876",105,"dried thyme"
"877",105,"purpose flour"
"878",105,"canned beef broth"
"879",105,"wine"
"880",106,"beef"
"881",106,"onion"
"882",106,"kernel"
"883",106,"cream chicken soup"
"884",106,"cream mushroom soup"
"885",106,"pimiento"
"886",106,"salt"
"887",106,"pepper"
"888",106,"sour cream"
"889",106,"noodles"
"890",106,"bread crumbs"
"891",106,"butter"
"892",107,"venisonbeef roast"
"893",107,"salt"
"894",107,"black pepper"
"895",107,"white pepper"
"896",107,"pepper"
"897",107,"meat tenderizer"
"898",107,"seasoned salt"
"899",107,"accent"
"900",107,"garlic powder"
"901",107,"kitchen bouquet"
"902",108,"butter"
"903",108,"onions"
"904",108,"green bell pepper"
"905",108,"mushrooms"
"906",108,"purpose flour"
"907",108,"paprika preferably hungarian sweet"
"908",108,"beef stock canned broth"
"909",108,"tomato paste"
"910",108,"sour cream"
"911",108,"fresh dill"
"912",108,"centercut beef tenderloin inch thick slices"
"913",108,"white wine"
"914",108,"tomatoes"
"915",109,"chuck"
"916",109,"vegetable"
"917",109,"salt"
"918",109,"pepper"
"919",109,"onion"
"920",109,"water"
"921",109,"marj"
"922",109,"green pepper"
"923",109,"leaf"
"924",109,"ribs celery"
"925",109,"potatoes"
"926",109,"zucchini"
"927",109,"purpose flour"
"928",110,"flour"
"929",110,"salt"
"930",110,"pepper"
"931",110,"sirloin"
"932",110,"butter"
"933",110,"onion"
"934",110,"small button mushrooms"
"935",110,"tomato sauce"
"936",110,"leaf"
"937",110,"sour cream"
"938",112,"beef"
"939",112,"onion"
"940",112,"salt taste"
"941",112,"clove garlic"
"942",112,"taco shells"
"943",112,"green chili"
"944",113,"lean beef"
"945",113,"sauce"
"946",113,"chinese cooking wine"
"947",113,"peanut"
"948",113,"garlic"
"949",113,"peanut"
"950",113,"green pepper"
"951",113,"pepper"
"952",113,"onion"
"953",113,"black bean sauce"
"954",113,"sauce"
"955",113,"sesame"
"956",113,"water"
"957",114,"zucchini"
"958",114,"onion"
"959",114,"butter"
"960",114,"grated parmesan cheese"
"961",114,"lean beef"
"962",114,"flour"
"963",114,"salt"
"964",114,"pepper"
"965",114,"ketchup"
"966",114,"grated parmesan cheese"
"967",115,"self rising flour"
"968",115,"sugar"
"969",115,"beer"
"970",115,"bisquick"
"971",115,"sugar"
"972",115,"beer"
"973",116,"yeast"
"974",116,"bread flour"
"975",116,"sugar"
"976",116,"salt"
"977",116,"butter"
"978",116,"flat beer"
"979",116,"american cheese"
"980",116,"monterey jack cheese"
"981",117,"purpose flour"
"982",117,"large onions"
"983",117,"green flakes"
"984",117,"dark german beer"
"985",117,"salt pepper taste"
"986",117,"vegetable"
"987",118,"beets"
"988",118,"feta cheese"
"989",118,"lemon"
"990",118,"olive"
"991",118,"fresh dill"
"992",119,"sauce"
"993",119,"rice wine vinegar"
"994",119,"onion"
"995",119,"ginger root"
"996",120,"chicken breast"
"997",120,"olive"
"998",120,"shallot"
"999",120,"breadcrumbs"
"1000",120,"parsley"
"1001",120,"thyme"
"1002",120,"rosemary"
"1003",120,"yolk"
"1004",121,"small onion"
"1005",121,"cloves garlic"
"1006",121,"dried thyme"
"1007",121,"milk"
"1008",121,"catsup"
"1009",121,"bread crumbs"
"1010",121,"salt"
"1011",121,"pepper"
"1012",121,"beef"
"1013",121,"pork"
"1014",121,"veal"
"1015",122,"purpose flour"
"1016",122,"wheat flour"
"1017",122,"natural bran"
"1018",122,"skim milk powder"
"1019",122,"granulated sugar"
"1020",122,"baking powder"
"1021",122,"salt"
"1022",123,"butter"
"1023",123,"salt"
"1024",123,"baking soda"
"1025",123,"buttermilk"
"1026",124,"mustard seed"
"1027",124,"fenugreek seed slightly"
"1028",124,"turmeric"
"1029",124,"cumin"
"1030",124,"paprika"
"1031",124,"asafoetida"
"1032",124,"okra"
"1033",124,"mustard"
"1034",124,"onion"
"1035",124,"garlic cloves"
"1036",124,"inch piece ginger"
"1037",124,"tomatoes"
"1038",124,"green bell pepper"
"1039",124,"chiles"
"1040",125,"mexico peppers"
"1041",125,"calif"
"1042",125,"bacon fine"
"1043",125,"onions"
"1044",125,"cloves garlic fine"
"1045",125,"louisiana sauce"
"1046",125,"salt pepper"
"1047",125,"beef"
"1048",125,"beef broth fresh best"
"1049",125,"tomato sauce"
"1050",125,"white vinegar"
"1051",125,"cumin"
"1052",125,"mexico chili powder"
"1053",125,"cayenne pepper"
"1054",125,"sugar"
"1055",125,"paprika"
"1056",125,"regular chili powder"
"1057",125,"beer"
"1058",126,"tropicana strawberry"
"1059",126,"lime juice"
"1060",126,"coco lopez"
"1061",126,"dark"
"1062",126,"mountain"
"1063",126,"strawberries hulled"
"1064",126,"orange wedges"
"1065",126,"lime wedges"
"1066",127,"cherries"
"1067",127,"cherryflav"
"1068",127,"envelope unflav"
"1069",127,"water"
"1070",127,"cream cheese"
"1071",127,"pineapple"
"1072",127,"bottles cola beverage"
"1073",127,"nuts"
"1074",128,"basmati"
"1075",128,"water"
"1076",128,"salt taste"
"1077",129,"biscuits"
"1078",129,"milk"
"1079",129,"butter"
"1080",129,"cast"
"1081",129,"eggs"
"1082",129,"almonds"
"1083",129,"almond essence"
"1084",129,"milk"
"1085",129,"toasted slivered almonds"
"1086",130,"flour"
"1087",130,"sugar"
"1088",130,"salt"
"1089",130,"baking powder"
"1090",130,"butter"
"1091",130,"lard"
"1092",130,"eggs"
"1093",130,"vanilla extract"
"1094",130,"almond extract"
"1095",130,"anise seed"
"1096",130,"almonds"
"1097",131,"almonds"
"1098",131,"purpose flour"
"1099",131,"sugar"
"1100",131,"baking soda"
"1101",131,"eggs"
"1102",131,"vanilla"
"1103",131,"almond extract"
"1104",131,"orange"
"1105",132,"sugar"
"1106",132,"cocoa powder"
"1107",132,"water"
"1108",132,"vanilla extract"
"1109",132,"brandy"
"1110",133,"black beans"
"1111",133,"olive"
"1112",133,"onion"
"1113",133,"garlic"
"1114",133,"fresh mushrooms"
"1115",133,"walnuts"
"1116",133,"kalamata olives"
"1117",133,"dried thyme"
"1118",133,"pepper"
"1119",133,"pimento slices"
"1120",134,"dried black beans"
"1121",134,"bacon slices"
"1122",134,"celery"
"1123",134,"onion"
"1124",134,"carrots"
"1125",134,"leeks"
"1126",134,"canned lowsalt chicken broth"
"1127",134,"tomato"
"1128",134,"fresh cilantro"
"1129",134,"fresh parsley"
"1130",134,"garlic"
"1131",134,"jalapeã± chili"
"1132",134,"wine vinegar"
"1133",134,"cumin"
"1134",134,"sour cream"
"1135",134,"fresh lemon juice"
"1136",134,"fresh lime juice"
